,Week,CRN,Subject,Course Name,Student ID,Remote Learner,Mon,Tue,Wed,Thu,Fri,Sat,Sun
200,01/25/2021-01/31/2021,35214,DS,Foundations of Data Science,85ae9e,No,,INP Yes,,,INP Yes,,
201,02/01/2021-02/07/2021,35214,DS,Foundations of Data Science,85ae9e,No,,INP Yes,,,INP Yes,,
202,02/22/2021-02/28/2021,35214,DS,Foundations of Data Science,85ae9e,No,,INP Yes,,,INP Yes,,
203,03/08/2021-03/14/2021,35214,DS,Foundations of Data Science,85ae9e,No,,INP Yes,,,INP Yes,,
204,03/01/2021-03/07/2021,35214,DS,Foundations of Data Science,85ae9e,No,,INP Yes,,,INP Yes,,
205,01/25/2021-01/31/2021,35213,DS,Foundations of Data Science,7b9ded,Yes,,REM Yes,,,REM Yes,,
206,02/01/2021-02/07/2021,35213,DS,Foundations of Data Science,7b9ded,Yes,,REM Yes,,,REM Yes,,
207,02/08/2021-02/14/2021,35213,DS,Foundations of Data Science,7b9ded,Yes,,REM Yes,,,REM Yes,,
208,03/08/2021-03/14/2021,35213,DS,Foundations of Data Science,7b9ded,Yes,,REM Yes,,,REM Yes,,
209,03/01/2021-03/07/2021,35213,DS,Foundations of Data Science,7b9ded,Yes,,REM Yes,,,REM Yes,,
210,01/18/2021-01/24/2021,35213,DS,Foundations of Data Science,7b9ded,Yes,,REM Yes,,,REM Yes,,
211,02/15/2021-02/21/2021,35213,DS,Foundations of Data Science,7b9ded,Yes,,REM Yes,,,REM Yes,,
212,02/22/2021-02/28/2021,35213,DS,Foundations of Data Science,7b9ded,Yes,,REM Yes,,,REM Yes,,
213,02/15/2021-02/21/2021,35214,DS,Foundations of Data Science,e40749,No,,INP Yes,,,INP Yes,,
214,03/01/2021-03/07/2021,35214,DS,Foundations of Data Science,e40749,No,,INP Yes,,,INP Yes,,
215,02/08/2021-02/14/2021,35214,DS,Foundations of Data Science,e40749,No,,INP Yes,,,INP Yes,,
216,02/22/2021-02/28/2021,35214,DS,Foundations of Data Science,e40749,No,,INP Yes,,,INP Yes,,
217,02/01/2021-02/07/2021,35214,DS,Foundations of Data Science,e40749,No,,INP No,,,INP No,,
218,01/18/2021-01/24/2021,35214,DS,Foundations of Data Science,e40749,No,,INP No,,,INP No,,
219,01/25/2021-01/31/2021,35214,DS,Foundations of Data Science,e40749,No,,INP No,,,INP No,,
220,03/08/2021-03/14/2021,35214,DS,Foundations of Data Science,e40749,No,,INP Yes,,,INP Yes,,
221,01/18/2021-01/24/2021,35213,DS,Foundations of Data Science,6d1977,No,,INP No,,,INP No,,
222,02/22/2021-02/28/2021,35213,DS,Foundations of Data Science,6d1977,No,,INP Yes,,,INP Yes,,
223,01/25/2021-01/31/2021,35213,DS,Foundations of Data Science,6d1977,No,,INP No,,,INP No,,
224,02/01/2021-02/07/2021,35213,DS,Foundations of Data Science,6d1977,No,,INP No,,,INP No,,
225,02/08/2021-02/14/2021,35213,DS,Foundations of Data Science,6d1977,No,,INP Yes,,,INP Yes,,
226,03/08/2021-03/14/2021,35213,DS,Foundations of Data Science,6d1977,No,,INP Yes,,,INP Yes,,
227,03/01/2021-03/07/2021,35213,DS,Foundations of Data Science,6d1977,No,,INP Yes,,,INP Yes,,
228,02/15/2021-02/21/2021,35213,DS,Foundations of Data Science,6d1977,No,,INP Yes,,,INP Yes,,
229,03/08/2021-03/14/2021,35213,DS,Foundations of Data Science,a5548d,Yes,,REM Yes,,,REM Yes,,
230,01/25/2021-01/31/2021,35213,DS,Foundations of Data Science,a5548d,Yes,,REM Yes,,,REM Yes,,
231,02/08/2021-02/14/2021,35213,DS,Foundations of Data Science,a5548d,Yes,,REM Yes,,,REM Yes,,
232,01/18/2021-01/24/2021,35213,DS,Foundations of Data Science,a5548d,Yes,,REM Yes,,,REM Yes,,
233,02/01/2021-02/07/2021,35213,DS,Foundations of Data Science,a5548d,Yes,,REM Yes,,,REM Yes,,
234,03/01/2021-03/07/2021,35213,DS,Foundations of Data Science,a5548d,Yes,,REM Yes,,,REM Yes,,
235,02/22/2021-02/28/2021,35213,DS,Foundations of Data Science,a5548d,Yes,,REM Yes,,,REM Yes,,
236,02/15/2021-02/21/2021,35213,DS,Foundations of Data Science,a5548d,Yes,,REM Yes,,,REM Yes,,
237,03/01/2021-03/07/2021,35214,DS,Foundations of Data Science,37d4f3,No,,INP Yes,,,INP Yes,,
238,01/18/2021-01/24/2021,35214,DS,Foundations of Data Science,37d4f3,No,,INP No,,,INP No,,
239,03/08/2021-03/14/2021,35214,DS,Foundations of Data Science,37d4f3,No,,INP Yes,,,INP Yes,,
240,02/22/2021-02/28/2021,35214,DS,Foundations of Data Science,37d4f3,No,,INP Yes,,,INP Yes,,
241,01/25/2021-01/31/2021,35214,DS,Foundations of Data Science,37d4f3,No,,INP Yes,,,INP Yes,,
242,02/01/2021-02/07/2021,35214,DS,Foundations of Data Science,37d4f3,No,,INP No,,,INP No,,
243,02/15/2021-02/21/2021,35214,DS,Foundations of Data Science,37d4f3,No,,INP Yes,,,INP Yes,,
244,02/08/2021-02/14/2021,35214,DS,Foundations of Data Science,37d4f3,No,,INP Yes,,,INP Yes,,
245,02/08/2021-02/14/2021,35213,DS,Foundations of Data Science,05168f,Yes,,REM Yes,,,REM Yes,,
246,01/18/2021-01/24/2021,35213,DS,Foundations of Data Science,05168f,Yes,,REM Yes,,,REM Yes,,
